     #Energy   up_Fe_dz2   dw_Fe_dz2
   -13.98531     0.00604    -0.00400
   -13.97131     0.00173    -0.00108
   -13.95831     0.00033    -0.00020
   -13.94431     0.00004    -0.00002
   -13.93131     0.00000    -0.00000
   -13.91731     0.00000    -0.00000
   -13.90431     0.00000    -0.00000
   -13.89031     0.00000    -0.00000
   -13.87731     0.00000    -0.00000
   -13.86331     0.00000    -0.00000
   -13.85031     0.00000    -0.00000
   -13.83731     0.00000     0.00000
   -13.82331     0.00000     0.00000
   -13.81031     0.00000     0.00000
   -13.79631     0.00000     0.00000
   -13.78331     0.00000     0.00000
   -13.76931     0.00000     0.00000
   -13.75631     0.00000     0.00000
   -13.74231     0.00000     0.00000
   -13.72931     0.00000     0.00000
   -13.71531     0.00000     0.00000
   -13.70231     0.00000    -0.00000
   -13.68831     0.00000    -0.00000
   -13.67531     0.00000    -0.00000
   -13.66231     0.00000    -0.00000
   -13.64831     0.00000    -0.00000
   -13.63531     0.00000    -0.00000
   -13.62131     0.00000    -0.00000
   -13.60831     0.00000    -0.00000
   -13.59431     0.00000    -0.00001
   -13.58131     0.00002    -0.00004
   -13.56731     0.00009    -0.00015
   -13.55431     0.00025    -0.00039
   -13.54031     0.00048    -0.00068
   -13.52731     0.00061    -0.00082
   -13.51331     0.00053    -0.00066
   -13.50031     0.00031    -0.00036
   -13.48731     0.00012    -0.00013
   -13.47331     0.00003    -0.00003
   -13.46031     0.00001    -0.00001
   -13.44631     0.00000    -0.00000
   -13.43331     0.00000    -0.00000
   -13.41931     0.00000    -0.00000
   -13.40631     0.00000    -0.00000
   -13.39231     0.00000    -0.00000
   -13.37931     0.00000    -0.00000
   -13.36531     0.00000    -0.00000
   -13.35231     0.00000    -0.00000
   -13.33831     0.00000     0.00000
   -13.32531     0.00000     0.00000
   -13.31231     0.00000     0.00000
   -13.29831     0.00000     0.00000
   -13.28531     0.00000     0.00000
   -13.27131     0.00000     0.00000
   -13.25831     0.00000     0.00000
   -13.24431     0.00000     0.00000
   -13.23131     0.00000     0.00000
   -13.21731     0.00000     0.00000
   -13.20431     0.00000     0.00000
   -13.19031     0.00000     0.00000
   -13.17731     0.00000     0.00000
   -13.16431     0.00000     0.00000
   -13.15031     0.00000     0.00000
   -13.13731     0.00000     0.00000
   -13.12331     0.00000     0.00000
   -13.11031     0.00000     0.00000
   -13.09631     0.00000     0.00000
   -13.08331     0.00000     0.00000
   -13.06931     0.00000     0.00000
   -13.05631     0.00000     0.00000
   -13.04231     0.00000     0.00000
   -13.02931     0.00000     0.00000
   -13.01531     0.00000     0.00000
   -13.00231     0.00000     0.00000
   -12.98931     0.00000     0.00000
   -12.97531     0.00000     0.00000
   -12.96231     0.00000    -0.00000
   -12.94831     0.00000    -0.00000
   -12.93531     0.00000    -0.00000
   -12.92131     0.00000    -0.00000
   -12.90831     0.00000    -0.00000
   -12.89431     0.00000    -0.00000
   -12.88131     0.00000    -0.00000
   -12.86731     0.00000    -0.00000
   -12.85431     0.00000    -0.00000
   -12.84031     0.00000    -0.00000
   -12.82731     0.00000    -0.00000
   -12.81431     0.00000    -0.00000
   -12.80031     0.00000    -0.00000
   -12.78731     0.00000    -0.00000
   -12.77331     0.00000    -0.00000
   -12.76031     0.00000    -0.00000
   -12.74631     0.00000    -0.00000
   -12.73331     0.00000    -0.00000
   -12.71931     0.00000    -0.00000
   -12.70631     0.00000    -0.00000
   -12.69231     0.00000    -0.00000
   -12.67931     0.00000    -0.00000
   -12.66631     0.00000    -0.00000
   -12.65231     0.00000    -0.00000
   -12.63931     0.00000    -0.00000
   -12.62531     0.00000    -0.00000
   -12.61231     0.00000    -0.00000
   -12.59831     0.00000    -0.00000
   -12.58531     0.00000    -0.00000
   -12.57131     0.00000    -0.00000
   -12.55831     0.00000    -0.00000
   -12.54431     0.00000    -0.00000
   -12.53131     0.00000    -0.00000
   -12.51731     0.00000    -0.00000
   -12.50431     0.00000    -0.00000
   -12.49131     0.00000    -0.00000
   -12.47731     0.00000    -0.00000
   -12.46431     0.00000    -0.00000
   -12.45031     0.00000    -0.00000
   -12.43731     0.00000    -0.00000
   -12.42331     0.00000    -0.00000
   -12.41031     0.00000    -0.00000
   -12.39631     0.00000    -0.00000
   -12.38331     0.00000    -0.00000
   -12.36931     0.00000    -0.00000
   -12.35631     0.00000    -0.00000
   -12.34231     0.00000    -0.00000
   -12.32931     0.00000    -0.00000
   -12.31631     0.00000    -0.00000
   -12.30231     0.00000    -0.00000
   -12.28931     0.00000    -0.00000
   -12.27531     0.00000    -0.00000
   -12.26231     0.00000    -0.00000
   -12.24831     0.00000    -0.00000
   -12.23531     0.00000    -0.00000
   -12.22131     0.00000    -0.00000
   -12.20831     0.00000    -0.00000
   -12.19431     0.00000    -0.00000
   -12.18131     0.00000    -0.00000
   -12.16731     0.00000    -0.00000
   -12.15431     0.00000    -0.00000
   -12.14131     0.00000    -0.00000
   -12.12731     0.00000     0.00000
   -12.11431     0.00000     0.00000
   -12.10031     0.00000     0.00000
   -12.08731     0.00000     0.00000
   -12.07331     0.00000     0.00000
   -12.06031     0.00000    -0.00000
   -12.04631     0.00000    -0.00000
   -12.03331     0.00000    -0.00000
   -12.01931     0.00000    -0.00000
   -12.00631     0.00000    -0.00000
   -11.99331     0.00000    -0.00000
   -11.97931     0.00001    -0.00000
   -11.96631     0.00010    -0.00000
   -11.95231     0.00077    -0.00003
   -11.93931     0.00421    -0.00023
   -11.92531     0.01559    -0.00138
   -11.91231     0.03905    -0.00557
   -11.89831     0.06625    -0.01525
   -11.88531     0.07614    -0.02824
   -11.87131     0.05929    -0.03544
   -11.85831     0.03128    -0.03014
   -11.84431     0.01117    -0.01736
   -11.83131     0.00270    -0.00677
   -11.81831     0.00044    -0.00179
   -11.80431     0.00005    -0.00032
   -11.79131     0.00000    -0.00004
   -11.77731     0.00000    -0.00000
   -11.76431     0.00000    -0.00000
   -11.75031     0.00000    -0.00000
   -11.73731     0.00000    -0.00000
   -11.72331     0.00000    -0.00000
   -11.71031     0.00000    -0.00000
   -11.69631     0.00000    -0.00000
   -11.68331     0.00000     0.00000
   -11.66931     0.00000    -0.00000
   -11.65631     0.00000    -0.00000
   -11.64331     0.00000    -0.00000
   -11.62931     0.00000    -0.00000
   -11.61631     0.00000    -0.00000
   -11.60231     0.00000    -0.00000
   -11.58931     0.00001    -0.00000
   -11.57531     0.00007    -0.00002
   -11.56231     0.00061    -0.00018
   -11.54831     0.00346    -0.00119
   -11.53531     0.01325    -0.00531
   -11.52131     0.03431    -0.01603
   -11.50831     0.06019    -0.03277
   -11.49431     0.07152    -0.04538
   -11.48131     0.05758    -0.04258
   -11.46831     0.03141    -0.02706
   -11.45431     0.01160    -0.01165
   -11.44131     0.00290    -0.00340
   -11.42731     0.00049    -0.00067
   -11.41431     0.00006    -0.00009
   -11.40031     0.00000    -0.00001
   -11.38731     0.00000    -0.00000
   -11.37331     0.00000    -0.00000
   -11.36031     0.00000    -0.00000
   -11.34631     0.00000    -0.00000
   -11.33331     0.00000    -0.00000
   -11.32031     0.00000    -0.00000
   -11.30631     0.00000    -0.00000
   -11.29331     0.00000    -0.00000
   -11.27931     0.00000    -0.00000
   -11.26631     0.00000    -0.00000
   -11.25231     0.00000    -0.00000
   -11.23931     0.00000    -0.00000
   -11.22531     0.00000    -0.00000
